f,v2,v1
0.7196,0.890,16.48
0.9444,1.21,16.43
0.9712,1.24,16.43
0.9839,1.26,16.43
1.0135,1.31,16.43
1.100,1.51,16.41
1.3417,2.04,16.31
1.3943,2.20,16.26
1.5088,2.60,16.16
1.719,3.62,15.83
1.820,4.33,15.38
1.900,4.94,15.15
2.070,6.80,13.97
2.174,8.14,12.84
2.187,8.30,12.61
2.203,8.48,12.49
2.233,8.83,12.16
2.288,9.28,11.71
2.320,9.42,11.53
2.350,9.47,11.51
2.446,9.02,11.91
2.481,8.72,12.26
2.558,7.91,13.04
2.903,4.91,15.15
3.168,3.73,15.73
3.682,2.55,16.16
4.296,1.88,16.28
4.712,1.62,16.38
5.25,1.37,16.41
6.37,1.08,16.46
